enc,codigo,cliente,descricao,quantidadeProducao,quantidadePicada,qrCode
ENC-A-2260124,A10ERGOS06S0R24A,"UAB ""LIETUVOS MEISTRAI""",Chair ERGOS 06 - 50x50x46cm - (P)2169C,9,,
ENC-A-2260124,A10ERGOS06S0Q47A,"UAB ""LIETUVOS MEISTRAI""",Chair ERGOS 06 - 50x50x46cm - (P)623,10,,
ENC-A-2260124,A10ERGOS06S0R23A,"UAB ""LIETUVOS MEISTRAI""",Chair ERGOS 06 - 50x50x46cm - (P)692,9,,
ENC-A-2253254,A10MAAH230S0230A,AGRUPAMENTO DE ESCOLAS DE TEIXOSO,Cadeira Estirador MAIS 47x50x55-65cm - (P)661/R7035,22,,
ENC-A-2252611,A10Q3MM210S0766A,MUNICIPIO DA TROFA,Armário Baixo 16 Tabuleiros T1 70x44x85cm - (Me)Cinza Claro,1,,
ENC-A-2252611,A10CBBL000S0181A,MUNICIPIO DA TROFA,Banca Lava Loiça 48x39x60cm - FFaia,10,,
ENC-A-2252611,A10CBCM00000181A,MUNICIPIO DA TROFA,Cama 60x100x42cm- FFaia,10,,
ENC-A-2252611,A10CBCL000S0278A,MUNICIPIO DA TROFA,Canto de ligação 35 x 37 x 60cm - FFaia/MDF,10,,
ENC-A-2252611,A10CBCO000S0278A,MUNICIPIO DA TROFA,Cómoda 80x30x60cm MDF,10,,
ENC-A-2252611,A10CBCA000S0632A,MUNICIPIO DA TROFA,Contentor Álbuns 50x50x40cm - Branco,10,,
ENC-A-2252611,A10CBEP000S0282A,MUNICIPIO DA TROFA,Espelho 40x2x50cm (AcrÍlico),10,,
ENC-A-2252611,A10CBEH000S0278A,MUNICIPIO DA TROFA,Estante c/Prateleiras Horizontal 80x35x100cm - Faia,10,,
ENC-A-2252611,A10CBEI000S0181A,MUNICIPIO DA TROFA,Estante c/Prateleiras Inclinadas 80x35x100cm - FFaia,10,,
ENC-A-2252611,A10CBEF000S0278A,MUNICIPIO DA TROFA,Estante com suporte para folhas 80x35x100cm - FFaia/MDF,10,,
ENC-A-2252611,A10CBFR000S0278A,MUNICIPIO DA TROFA,Frigorífico 48x39x60cm - MDF,10,,
